LShoulder_X,LShoulder_Y,RShoulder_X,RShoulder_Y,LElbow_X,LElbow_Y,RElbow_X,RElbow_Y,LWrist_X,LWrist_Y,RWrist_X,RWrist_Y,LHip_X,LHip_Y,RHip_X,RHip_Y,LKnee_X,LKnee_Y,Rknee_X,Rknee_Y,LAnkle_X,LAnkle_Y,RAnkle_X,RAnkle_Y,Actions
1.1613168181318259,0.9502586256079665,1.1500713118147148,0.9585398232871962,1.154393227480524,0.9411006031711336,1.1565497398994484,0.9260343051055613,1.1426363315912276,0.9649583623545072,1.1378994146402277,0.9816969591588118,1.2,0.8770726171238573,1.1832807108474397,0.8788203822823485,1.1600815811802,0.9153535017270501,1.1320168718401589,0.8934389117908444,1.1496160704905418,0.87049927473585,1.1587805288461759,0.8511994987567123,0.0
1.160169609309064,0.9497959935051957,1.1549482567795026,0.9558849154681451,1.1535792730334755,0.941022969578245,1.1563833818559601,0.9261260291951114,1.1421646934302103,0.9648456208731437,1.1368567107371004,0.986572134013619,1.1811635969888592,0.8953693324984784,1.1741895730647067,0.9012932663456129,1.1964263485819426,0.9267588899260621,1.1338396898175143,0.9171189620404478,1.197605700027349,0.9022219325962406,1.1765630821989648,0.8759334160770612,0.0
1.1586895371649848,0.9492139551999738,1.1553693687782909,0.9524208815960598,1.15252464254024,0.9404643155078328,1.1561116870597397,0.9261770986832174,1.1422536241588381,0.9642896185578972,1.1368626239917494,0.9865104959907767,1.1634966678293872,0.904320430522314,1.165398726407893,0.9115652808404063,1.1957412449896854,0.9317125359230989,1.126868534540388,0.9264080666427897,1.2,0.9139387565759348,1.1598723721783881,0.8902468010597918,0.0
1.1570916429942109,0.9485813462559457,1.156855171118397,0.9481483736183891,1.1507523074302317,0.9395316863985496,1.1557652661910685,0.9246009791683596,1.142756383150693,0.9639923910161211,1.1397824231513871,0.9845573962474706,1.1566828576402106,0.9060230095513133,1.1582956903566144,0.911739219343654,1.1890383425238829,0.9395860597133671,1.1260751172591266,0.9268096597823967,1.1884532987112872,0.9105589393501664,1.159879201848758,0.8896302215777113,0.0
1.152357086107307,0.9488478237750185,1.1608293434628068,0.9379433809201977,1.1495852653705139,0.9380825544978124,1.1563380660449558,0.9185567819168252,1.1434555185244792,0.9641190162002184,1.1424047959763055,0.9780508577009697,1.1581152913601986,0.9028680063967216,1.1527365732233017,0.9081398774343009,1.1857166380610407,0.9363094301387545,1.0897824070801334,0.9219549486518668,1.190492416638075,0.9035759098375467,1.1265947028650585,0.8844854658014758,0.0
1.1519442797897346,0.9457728314612701,1.149060559068059,0.9389800959011296,1.1489453841459212,0.9364774714148848,1.1448733659306611,0.9210476756435002,1.143631508792539,0.9657297437859882,1.133917511952561,0.9829566511835088,1.150705593816688,0.9075797128642005,1.1281940538315733,0.9177493356583657,1.1906609333134484,0.9351752708288895,1.0622567885666279,0.9364055541032622,1.1913296163231484,0.9006443738983065,1.1070545137553278,0.895557051817698,0.0
1.1498837893010367,0.9424077421653831,1.1402970641159478,0.9399319391776997,1.1439801281956317,0.9359313002790118,1.1367347263022025,0.9219343113895988,1.142845215395679,0.9650561297899898,1.12849848090254,0.9829228264167473,1.1399967434236657,0.9129358056967846,1.1138768834720691,0.9277868312909726,1.2,0.9430271304127206,1.0441299790599685,0.9432558041488733,1.1895029506642472,0.9130030509383583,1.084491291579986,0.9163072214119372,0.0
1.1401755976807117,0.9359593907689312,1.1313685033342595,0.9375693408879167,1.1364170532968512,0.9356309403541024,1.1341360195952026,0.9220503368813603,1.1388407720327376,0.9645929520212944,1.1258893869652549,0.9832350242047464,1.129693853181051,0.9159306118390104,1.1081343543630022,0.9288340691605044,1.197353901995488,0.9427181160912528,1.0344322919281626,0.9484718478914325,1.1783605974325195,0.9186075921954605,1.0813408048129147,0.9149841092847169,0.0
1.1294567978204868,0.9330013653679976,1.1306479012670578,0.9358623053927876,1.124873558946442,0.9355049995145376,1.127476496040718,0.9226030567436887,1.1311200484430288,0.9645165553114858,1.1224618778362703,0.9849627323742773,1.1208843805185613,0.9204499523522872,1.1055033121984896,0.9335278324267282,1.1792156861442624,0.9441575883003801,1.0327725077100114,0.9461981964492585,1.1641846801223257,0.9222963600376199,1.0567547949721556,0.9139004326972837,0.0
1.1195961243240842,0.9282394555334208,1.1252044016844134,0.9323196229510875,1.1160484274496074,0.9344037652894214,1.1236567633091727,0.9226572324260625,1.1195442811751277,0.9633277905234685,1.1136518545982557,0.9859176808842189,1.106636986559893,0.9259731509632689,1.0941588873462924,0.9343018330029654,1.1112227569738686,0.9641339462119727,1.0292383995691803,0.9472631886173004,1.1212235467575014,0.9220531138509592,1.0384624268135245,0.9153285686745682,0.0
1.1109515501250682,0.9228059676155008,1.1181857984133028,0.9320848626012436,1.1090337192309114,0.930770803840709,1.118983332716455,0.9226110963053226,1.105890115128753,0.9622804068967995,1.0982045661111925,0.9877141607359328,1.0969925529007305,0.9237676713401938,1.0908791238555025,0.9323173293857181,1.067497188236356,0.9662852345707978,1.0446232869984535,0.9545755350534589,1.0683216605189714,0.94805669039164,1.0636985610116942,0.9361600257868394,0.0
1.102414281961293,0.916960418233616,1.1065143955124186,0.9283117463700474,1.1013546298308252,0.9263364550944799,1.109029759845056,0.9191946480455486,1.0972604860080295,0.9566881095871913,1.0915310951450818,0.9861970157471656,1.0844286094173794,0.921767367675005,1.0823194078202836,0.9301213465810689,1.0535017968640594,0.9615930287333543,1.0506922674205261,0.9537156129190415,1.0384962230609283,0.9406613539327415,1.05925676436308,0.9277897662244191,0.0
